age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car,addiction,addicted
56,male,7.638579519882376,LinkedIn,Health & Wellness,United Kingdom,Urban,Teacher,60000.0,True,False,False,False,True
46,female,4.973231919073545,TikTok,Home Improvement,United Kingdom,Urban,Artist,40000.0,True,True,True,False,True
32,male,7.744115541701767,YouTube,Home Improvement,Australia,Sub_Urban,Student,30000.0,False,False,False,False,True
60,non-binary,7.1671364203406025,Facebook,Health & Wellness,United Kingdom,Urban,Software Engineer,90000.0,False,True,False,False,False
25,male,11.563826139408258,LinkedIn,Gaming,Australia,Urban,Student,24000.0,False,True,True,True,True
38,male,9.005245877423105,LinkedIn,Home Improvement,United States,Urban,Teacher,60000.0,True,True,True,False,True
56,male,5.536330095548032,Twitter,Health & Wellness,United States,Urban,Artist,40000.0,True,True,True,False,True
36,male,8.489085415830765,Twitter,Culinary Exploration,Australia,Urban,Engineer,95000.0,True,False,True,False,True
40,non-binary,7.294670281771462,YouTube,Culinary Exploration,Australia,Sub_Urban,Teacher,60000.0,False,False,True,False,True
28,non-binary,8.810216173268818,Facebook,E-Sports,Australia,Sub_Urban,Chef,40000.0,True,False,True,True,True
28,female,8.151873401690958,WhatsApp,E-Sports,United Kingdom,Urban,Software Engineer,72000.0,True,True,False,True,True
41,non-binary,7.637062318527837,Twitter,Home Improvement,United States,Sub_Urban,Marketer Manager,85000.0,False,False,False,False,True
53,non-binary,4.795190568033426,Facebook,Book Clubs,Australia,Rural,Engineer,95000.0,False,True,True,False,False
57,female,7.248363481312225,Instagram,Health & Wellness,United Kingdom,Urban,Lawyer,110000.0,False,True,False,False,False
41,non-binary,7.386756474671382,LinkedIn,Home Improvement,United States,Rural,Doctor,120000.0,True,True,False,False,True
20,male,7.747753462282796,WhatsApp,Gaming,United Kingdom,Sub_Urban,Student,24000.0,True,True,False,True,True
39,male,7.447098327202818,Twitter,Home Improvement,United States,Sub_Urban,Marketer Manager,85000.0,True,True,False,True,True
19,female,9.821782303017176,Instagram,Gaming,United Kingdom,Rural,Chef,40000.0,False,True,True,True,True
41,female,8.762617185027203,Instagram,Culinary Exploration,United States,Sub_Urban,Artist,40000.0,False,False,False,True,True
61,female,5.352199137733695,Pinterest,Book Clubs,United States,Urban,Scientist,100000.0,False,False,False,False,False
47,male,7.5597136151153475,Twitter,Home Improvement,United Kingdom,Rural,Lawyer,110000.0,False,False,True,True,True
55,non-binary,7.18389188009146,WhatsApp,Health & Wellness,Australia,Urban,Scientist,100000.0,True,False,True,False,False
19,male,11.21457136039348,YouTube,Gaming,United States,Rural,Software Engineer,72000.0,True,True,True,True,True
38,female,9.436922704660098,TikTok,Culinary Exploration,Australia,Sub_Urban,Engineer,95000.0,True,True,True,True,True
50,non-binary,8.609432101235429,Twitter,Book Clubs,United Kingdom,Rural,Marketer Manager,85000.0,True,False,False,False,False
29,non-binary,9.934645925962732,YouTube,E-Sports,Australia,Rural,Artist,32000.0,True,False,True,True,True
39,male,6.870554972432209,YouTube,Culinary Exploration,Australia,Urban,Artist,40000.0,True,False,False,True,True
61,female,6.659010616805392,Pinterest,Health & Wellness,Australia,Sub_Urban,Teacher,60000.0,True,False,False,False,True
42,male,8.192601450103984,Twitter,Home Improvement,Australia,Urban,Software Engineer,90000.0,True,False,True,False,True
44,non-binary,7.956582577386109,Facebook,Home Improvement,Australia,Sub_Urban,Marketer Manager,85000.0,False,False,True,False,True
59,male,5.7139532563882645,LinkedIn,Health & Wellness,United States,Urban,Software Engineer,90000.0,False,False,True,False,True
45,male,8.074614559124646,Facebook,Home Improvement,United States,Rural,Engineer,95000.0,True,False,True,False,True
33,female,7.9137379289174685,WhatsApp,Home Improvement,United States,Urban,Student,30000.0,False,True,True,False,True
32,female,9.607279627686534,Snapchat,Culinary Exploration,United Kingdom,Sub_Urban,Doctor,120000.0,True,True,True,False,True
64,non-binary,7.501063660966669,YouTube,Health & Wellness,Australia,Sub_Urban,Lawyer,110000.0,True,True,False,False,False
61,male,6.818672346546753,WhatsApp,Book Clubs,United States,Rural,Teacher,60000.0,False,True,False,False,False
20,male,8.381479253376195,Twitter,E-Sports,United Kingdom,Sub_Urban,Marketer Manager,68000.0,True,False,False,True,True
54,male,8.247678882600958,YouTube,Book Clubs,United States,Urban,Artist,40000.0,True,True,False,False,False
24,non-binary,11.211961939282904,Twitter,Gaming,United States,Rural,Software Engineer,72000.0,True,False,True,True,True
38,non-binary,8.022658059626956,Twitter,Culinary Exploration,Australia,Sub_Urban,Student,30000.0,True,True,True,False,True
26,female,8.56015232691291,Facebook,E-Sports,United Kingdom,Sub_Urban,Lawyer,88000.0,True,False,False,True,True
56,female,7.3651050386047,TikTok,Health & Wellness,Australia,Urban,Lawyer,110000.0,True,False,False,False,True
35,female,8.791682989549052,Pinterest,Home Improvement,Australia,Urban,Engineer,95000.0,True,True,False,True,True
21,male,8.085896472130827,WhatsApp,E-Sports,United States,Rural,Student,24000.0,False,True,True,True,True
42,male,6.205323389483742,LinkedIn,Home Improvement,Australia,Sub_Urban,Chef,50000.0,False,False,True,True,True
31,female,7.7617692907761295,Instagram,Culinary Exploration,United Kingdom,Urban,Artist,40000.0,True,False,True,True,True
26,male,10.457841711709815,Facebook,E-Sports,Australia,Rural,Chef,40000.0,False,False,False,True,True
43,female,7.984202265737155,Snapchat,Home Improvement,Australia,Sub_Urban,Chef,50000.0,True,True,False,False,True
19,non-binary,10.781519577771208,Twitter,E-Sports,Australia,Sub_Urban,Doctor,96000.0,True,True,True,True,True
37,female,7.438796133438403,Pinterest,Home Improvement,United States,Rural,Marketer Manager,85000.0,True,False,True,False,True
45,non-binary,7.6560080473275915,Facebook,Culinary Exploration,United Kingdom,Rural,Doctor,120000.0,True,True,False,True,True
64,male,6.643442156388605,WhatsApp,Book Clubs,United States,Urban,Student,30000.0,False,False,False,False,False
24,female,10.466578726206462,Facebook,Gaming,United States,Sub_Urban,Student,24000.0,False,True,True,True,True
61,male,6.445989948819223,Facebook,Book Clubs,United States,Sub_Urban,Doctor,120000.0,False,True,False,False,False
25,non-binary,11.498949256147686,WhatsApp,E-Sports,United States,Sub_Urban,Teacher,48000.0,False,True,True,True,True
64,non-binary,4.59218964956513,LinkedIn,Book Clubs,United States,Rural,Lawyer,110000.0,True,True,True,False,False
52,non-binary,5.961688181646573,LinkedIn,Health & Wellness,United Kingdom,Urban,Software Engineer,90000.0,False,True,False,False,False
31,male,10.268425138729624,WhatsApp,Home Improvement,Australia,Sub_Urban,Teacher,60000.0,True,False,False,False,True
34,male,9.208243279470238,WhatsApp,Home Improvement,United States,Rural,Chef,50000.0,True,False,False,True,True
53,male,5.741925134065213,WhatsApp,Book Clubs,United States,Sub_Urban,Engineer,95000.0,False,True,True,False,True
57,male,5.6900746483857905,WhatsApp,Health & Wellness,United Kingdom,Urban,Marketer Manager,85000.0,True,False,False,False,False
21,non-binary,10.749859857984731,LinkedIn,E-Sports,United Kingdom,Sub_Urban,Engineer,76000.0,False,False,False,True,True
19,non-binary,11.127937621527998,YouTube,E-Sports,Australia,Urban,Engineer,76000.0,False,True,True,True,True
23,female,10.745401960909167,Facebook,Gaming,United Kingdom,Urban,Engineer,76000.0,False,False,True,True,True
59,female,4.818545052789002,Pinterest,Health & Wellness,Australia,Sub_Urban,Teacher,60000.0,False,True,False,False,True
21,male,8.216110457095848,YouTube,Gaming,United States,Sub_Urban,Artist,32000.0,False,False,True,True,True
46,non-binary,6.822672038551244,YouTube,Culinary Exploration,United States,Urban,Scientist,100000.0,True,False,True,False,True
35,non-binary,9.615258837452046,YouTube,Home Improvement,Australia,Rural,Doctor,120000.0,False,False,True,True,True
43,non-binary,7.390558630596613,LinkedIn,Culinary Exploration,United Kingdom,Urban,Chef,50000.0,False,False,False,True,True
61,female,5.497612319899199,Snapchat,Book Clubs,Australia,Sub_Urban,Marketer Manager,85000.0,True,False,False,False,True
51,female,7.144405710579781,WhatsApp,Book Clubs,United Kingdom,Sub_Urban,Student,30000.0,False,False,True,False,False
27,non-binary,8.382434260519178,YouTube,Gaming,United States,Rural,Scientist,80000.0,False,False,True,True,True
53,non-binary,7.847969192193239,LinkedIn,Book Clubs,United Kingdom,Urban,Lawyer,110000.0,True,True,True,False,False
31,non-binary,8.270184040381679,LinkedIn,Culinary Exploration,Australia,Urban,Software Engineer,90000.0,True,True,False,True,True
48,female,6.320393803072264,Facebook,Home Improvement,Australia,Urban,Student,30000.0,False,True,True,False,True
32,non-binary,9.171892841204675,YouTube,Culinary Exploration,United States,Sub_Urban,Doctor,120000.0,True,True,True,True,True
25,non-binary,8.85364397221961,Twitter,E-Sports,United Kingdom,Urban,Chef,40000.0,False,False,False,True,True
31,male,8.289691618931675,Facebook,Culinary Exploration,United Kingdom,Rural,Scientist,100000.0,True,False,True,False,True
40,male,7.333299022780098,Twitter,Home Improvement,United Kingdom,Sub_Urban,Lawyer,110000.0,False,False,False,False,True
57,female,7.994538569459628,Instagram,Health & Wellness,United States,Sub_Urban,Scientist,100000.0,False,True,False,False,True
38,non-binary,7.362300136852459,WhatsApp,Culinary Exploration,United Kingdom,Urban,Lawyer,110000.0,False,True,False,True,True
33,non-binary,7.331975579795744,Facebook,Culinary Exploration,Australia,Rural,Engineer,95000.0,True,True,True,False,True
62,male,6.049602625699112,YouTube,Book Clubs,United Kingdom,Sub_Urban,Doctor,120000.0,False,False,True,False,False
35,female,7.846875151276659,Facebook,Home Improvement,United States,Sub_Urban,Marketer Manager,85000.0,True,True,False,True,True
64,male,4.691078446451522,Facebook,Health & Wellness,United Kingdom,Urban,Student,30000.0,False,False,True,False,False
41,male,9.381642510871163,YouTube,Home Improvement,United Kingdom,Urban,Marketer Manager,85000.0,False,True,False,False,True
43,male,4.555878495198098,Facebook,Culinary Exploration,Australia,Rural,Software Engineer,90000.0,False,False,True,True,True
42,male,8.860107829187355,Facebook,Home Improvement,United Kingdom,Urban,Lawyer,110000.0,False,True,False,False,True
62,non-binary,6.608832063876475,WhatsApp,Health & Wellness,Australia,Rural,Scientist,100000.0,False,False,False,False,False
58,non-binary,6.034455973991515,YouTube,Book Clubs,Australia,Sub_Urban,Student,30000.0,True,True,True,False,False
46,male,7.8965655283324,Twitter,Home Improvement,United States,Rural,Student,30000.0,True,True,True,False,True
32,female,8.30895432001082,Facebook,Home Improvement,Australia,Rural,Scientist,100000.0,True,False,True,True,True
62,female,6.3364943121818325,Pinterest,Health & Wellness,Australia,Rural,Engineer,95000.0,False,False,True,False,False
18,female,9.228653650624427,Instagram,E-Sports,United States,Sub_Urban,Teacher,48000.0,False,True,False,True,True
42,female,7.4790572097388,Facebook,Home Improvement,Australia,Urban,Artist,40000.0,True,False,False,True,True
24,male,9.777649940692385,Twitter,E-Sports,United States,Sub_Urban,Doctor,96000.0,False,True,True,True,True
26,non-binary,9.794180521989139,Facebook,Gaming,United Kingdom,Urban,Engineer,76000.0,False,False,True,True,True
41,female,7.96296098428267,WhatsApp,Culinary Exploration,United States,Rural,Lawyer,110000.0,False,True,False,True,True
