age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car,addiction,addicted
56,male,5,LinkedIn,Health & Wellness,United Kingdom,Urban,Teacher,60000.0,True,False,False,False,True
46,female,5,TikTok,Culinary Exploration,United Kingdom,Urban,Artist,40000.0,True,True,True,False,True
32,male,5,YouTube,Home Improvement,Australia,Sub_Urban,Student,30000.0,False,False,False,False,True
60,non-binary,4,Facebook,Health & Wellness,United Kingdom,Urban,Software Engineer,90000.0,False,True,False,False,False
25,male,7,LinkedIn,E-Sports,Australia,Urban,Student,24000.0,False,True,True,True,True
38,male,7,LinkedIn,DIY Projects,United States,Urban,Teacher,60000.0,True,True,True,False,True
56,male,5,Twitter,Travel & Leisure,United States,Urban,Artist,40000.0,True,True,True,False,True
36,male,6,Twitter,Home Improvement,Australia,Urban,Engineer,95000.0,True,False,True,False,True
40,non-binary,7,YouTube,Parenting,Australia,Sub_Urban,Teacher,60000.0,False,False,True,False,True
28,non-binary,9,Facebook,Influencer Culture,Australia,Sub_Urban,Chef,40000.0,True,False,True,True,True
28,female,9,WhatsApp,E-Sports,United Kingdom,Urban,Software Engineer,72000.0,True,True,False,True,True
41,non-binary,7,Twitter,Outdoor Activities,United States,Sub_Urban,Marketer Manager,85000.0,False,False,False,False,True
53,non-binary,4,Facebook,Travel & Leisure,Australia,Rural,Engineer,95000.0,False,True,True,False,False
57,female,3,Instagram,Travel & Leisure,United Kingdom,Urban,Lawyer,110000.0,False,True,False,False,False
41,non-binary,6,LinkedIn,Home Improvement,United States,Rural,Doctor,120000.0,True,True,False,False,True
20,male,7,WhatsApp,E-Sports,United Kingdom,Sub_Urban,Student,24000.0,True,True,False,True,True
39,male,7,Twitter,Parenting,United States,Sub_Urban,Marketer Manager,85000.0,True,True,False,True,True
19,female,8,Instagram,Gaming,United Kingdom,Rural,Chef,40000.0,False,True,True,True,True
41,female,6,Instagram,Culinary Exploration,United States,Sub_Urban,Artist,40000.0,False,False,False,True,True
61,female,3,Pinterest,Health & Wellness,United States,Urban,Scientist,100000.0,False,False,False,False,False
47,male,6,Twitter,Culinary Exploration,United Kingdom,Rural,Lawyer,110000.0,False,False,True,True,True
55,non-binary,4,WhatsApp,Travel & Leisure,Australia,Urban,Scientist,100000.0,True,False,True,False,False
19,male,8,YouTube,Gaming,United States,Rural,Software Engineer,72000.0,True,True,True,True,True
38,female,6,TikTok,Culinary Exploration,Australia,Sub_Urban,Engineer,95000.0,True,True,True,True,True
50,non-binary,4,Twitter,Travel & Leisure,United Kingdom,Rural,Marketer Manager,85000.0,True,False,False,False,False
29,non-binary,9,YouTube,E-Sports,Australia,Rural,Artist,32000.0,True,False,True,True,True
39,male,6,YouTube,Culinary Exploration,Australia,Urban,Artist,40000.0,True,False,False,True,True
61,female,5,Pinterest,Health & Wellness,Australia,Sub_Urban,Teacher,60000.0,True,False,False,False,True
42,male,7,Twitter,Parenting,Australia,Urban,Software Engineer,90000.0,True,False,True,False,True
44,non-binary,7,Facebook,DIY Projects,Australia,Sub_Urban,Marketer Manager,85000.0,False,False,True,False,True
59,male,5,LinkedIn,Health & Wellness,United States,Urban,Software Engineer,90000.0,False,False,True,False,True
45,male,5,Facebook,Culinary Exploration,United States,Rural,Engineer,95000.0,True,False,True,False,True
33,female,7,WhatsApp,DIY Projects,United States,Urban,Student,30000.0,False,True,True,False,True
32,female,7,Snapchat,DIY Projects,United Kingdom,Sub_Urban,Doctor,120000.0,True,True,True,False,True
64,non-binary,4,YouTube,Health & Wellness,Australia,Sub_Urban,Lawyer,110000.0,True,True,False,False,False
61,male,3,WhatsApp,Travel & Leisure,United States,Rural,Teacher,60000.0,False,True,False,False,False
20,male,7,Twitter,Gaming,United Kingdom,Sub_Urban,Marketer Manager,68000.0,True,False,False,True,True
54,male,3,YouTube,Health & Wellness,United States,Urban,Artist,40000.0,True,True,False,False,False
24,non-binary,8,Twitter,E-Sports,United States,Rural,Software Engineer,72000.0,True,False,True,True,True
38,non-binary,7,Twitter,Parenting,Australia,Sub_Urban,Student,30000.0,True,True,True,False,True
26,female,9,Facebook,E-Sports,United Kingdom,Sub_Urban,Lawyer,88000.0,True,False,False,True,True
