age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car,addiction,addicted
56,male,4.96,LinkedIn,Health & Wellness,United Kingdom,Urban,Teacher,60000.0,True,False,False,False,True
46,female,7.199999999999999,TikTok,Home Improvement,United Kingdom,Urban,Artist,40000.0,True,True,True,False,True
32,male,8.6,YouTube,Home Improvement,Australia,Sub_Urban,Student,30000.0,False,False,False,False,True
60,non-binary,4.64,Facebook,Health & Wellness,United Kingdom,Urban,Software Engineer,90000.0,False,True,False,False,False
25,male,9.3,LinkedIn,Gaming,Australia,Urban,Student,24000.0,False,True,True,True,True
38,male,6.4,LinkedIn,Home Improvement,United States,Urban,Teacher,60000.0,True,True,True,False,True
56,male,6.199999999999999,Twitter,Health & Wellness,United States,Urban,Artist,40000.0,True,True,True,False,True
36,male,6.56,Twitter,Culinary Exploration,Australia,Urban,Engineer,95000.0,True,False,True,False,True
40,non-binary,6.24,YouTube,Culinary Exploration,Australia,Sub_Urban,Teacher,60000.0,False,False,True,False,True
28,non-binary,9.0,Facebook,E-Sports,Australia,Sub_Urban,Chef,40000.0,True,False,True,True,True
28,female,7.2,WhatsApp,E-Sports,United Kingdom,Urban,Software Engineer,72000.0,True,True,False,True,True
41,non-binary,6.16,Twitter,Home Improvement,United States,Sub_Urban,Marketer Manager,85000.0,False,False,False,False,True
53,non-binary,5.2,Facebook,Book Clubs,Australia,Rural,Engineer,95000.0,False,True,True,False,False
57,female,6.1,Instagram,Health & Wellness,United Kingdom,Urban,Lawyer,110000.0,False,True,False,False,False
41,non-binary,7.699999999999999,LinkedIn,Home Improvement,United States,Rural,Doctor,120000.0,True,True,False,False,True
20,male,9.8,WhatsApp,Gaming,United Kingdom,Sub_Urban,Student,24000.0,True,True,False,True,True
39,male,6.32,Twitter,Home Improvement,United States,Sub_Urban,Marketer Manager,85000.0,True,True,False,True,True
19,female,9.9,Instagram,Gaming,United Kingdom,Rural,Chef,40000.0,False,True,True,True,True
41,female,7.699999999999999,Instagram,Culinary Exploration,United States,Sub_Urban,Artist,40000.0,False,False,False,True,True
61,female,5.7,Pinterest,Book Clubs,United States,Urban,Scientist,100000.0,False,False,False,False,False
47,male,7.1,Twitter,Home Improvement,United Kingdom,Rural,Lawyer,110000.0,False,False,True,True,True
55,non-binary,6.3,WhatsApp,Health & Wellness,Australia,Urban,Scientist,100000.0,True,False,True,False,False
19,male,7.920000000000001,YouTube,Gaming,United States,Rural,Software Engineer,72000.0,True,True,True,True,True
38,female,6.4,TikTok,Culinary Exploration,Australia,Sub_Urban,Engineer,95000.0,True,True,True,True,True
50,non-binary,5.44,Twitter,Book Clubs,United Kingdom,Rural,Marketer Manager,85000.0,True,False,False,False,False
29,non-binary,8.9,YouTube,E-Sports,Australia,Rural,Artist,32000.0,True,False,True,True,True
39,male,7.9,YouTube,Culinary Exploration,Australia,Urban,Artist,40000.0,True,False,False,True,True
61,female,4.5600000000000005,Pinterest,Health & Wellness,Australia,Sub_Urban,Teacher,60000.0,True,False,False,False,True
42,male,6.08,Twitter,Home Improvement,Australia,Urban,Software Engineer,90000.0,True,False,True,False,True
44,non-binary,5.920000000000001,Facebook,Home Improvement,Australia,Sub_Urban,Marketer Manager,85000.0,False,False,True,False,True
59,male,4.72,LinkedIn,Health & Wellness,United States,Urban,Software Engineer,90000.0,False,False,True,False,True
45,male,5.84,Facebook,Home Improvement,United States,Rural,Engineer,95000.0,True,False,True,False,True
33,female,8.5,WhatsApp,Home Improvement,United States,Urban,Student,30000.0,False,True,True,False,True
32,female,8.6,Snapchat,Culinary Exploration,United Kingdom,Sub_Urban,Doctor,120000.0,True,True,True,False,True
64,non-binary,5.3999999999999995,YouTube,Health & Wellness,Australia,Sub_Urban,Lawyer,110000.0,True,True,False,False,False
61,male,4.5600000000000005,WhatsApp,Book Clubs,United States,Rural,Teacher,60000.0,False,True,False,False,False
20,male,7.840000000000001,Twitter,E-Sports,United Kingdom,Sub_Urban,Marketer Manager,68000.0,True,False,False,True,True
54,male,6.4,YouTube,Book Clubs,United States,Urban,Artist,40000.0,True,True,False,False,False
24,non-binary,7.5200000000000005,Twitter,Gaming,United States,Rural,Software Engineer,72000.0,True,False,True,True,True
38,non-binary,8.0,Twitter,Culinary Exploration,Australia,Sub_Urban,Student,30000.0,True,True,True,False,True
26,female,9.2,Facebook,E-Sports,United Kingdom,Sub_Urban,Lawyer,88000.0,True,False,False,True,True
56,female,6.199999999999999,TikTok,Health & Wellness,Australia,Urban,Lawyer,110000.0,True,False,False,False,True
35,female,6.640000000000001,Pinterest,Home Improvement,Australia,Urban,Engineer,95000.0,True,True,False,True,True
21,male,9.7,WhatsApp,E-Sports,United States,Rural,Student,24000.0,False,True,True,True,True
42,male,7.6,LinkedIn,Home Improvement,Australia,Sub_Urban,Chef,50000.0,False,False,True,True,True
31,female,8.7,Instagram,Culinary Exploration,United Kingdom,Urban,Artist,40000.0,True,False,True,True,True
